1.2.840.10008.1.1	Verification SOP Class
1.2.840.10008.1.20.1	Storage Commitment Push Model SOP Class
1.2.840.10008.1.20.2	Storage Commitment Pull Model SOP Class	Retired
1.2.840.10008.1.3.10	Media Storage Directory Storage
1.2.840.10008.1.40	Procedural Event Logging SOP Class
1.2.840.10008.1.9	Basic Study Content Notification SOP Class	Retired

1.2.840.10008.3.1.2.1.1	Detached Patient Management SOP Class	Retired
1.2.840.10008.3.1.2.1.4	Detached Patient Management Meta SOP Class	Retired
1.2.840.10008.3.1.2.2.1	Detached Visit Management SOP Class	Retired
1.2.840.10008.3.1.2.3.1	Detached Study Management SOP Class	Retired
1.2.840.10008.3.1.2.3.2	Study Component Management SOP Class	Retired
1.2.840.10008.3.1.2.3.3	Modality Performed Procedure Step SOP Class
1.2.840.10008.3.1.2.3.4	Modality Performed Procedure Step Retrieve SOP Class
1.2.840.10008.3.1.2.3.5	Modality Performed Procedure Step Notification SOP Class
1.2.840.10008.3.1.2.5.1	Detached Results Management SOP Class	Retired
1.2.840.10008.3.1.2.5.4	Detached Results Management Meta SOP Class	Retired
1.2.840.10008.3.1.2.5.5	Detached Study Management Meta SOP Class	Retired
1.2.840.10008.3.1.2.6.1	Detached Interpretation Management SOP Class	Retired

1.2.840.10008.4.2	Storage Service Class

1.2.840.10008.5.1.1.1	Basic Film Session SOP Class
1.2.840.10008.5.1.1.14	Print Job SOP Class
1.2.840.10008.5.1.1.15	Basic Annotation Box SOP Class
1.2.840.10008.5.1.1.16	Printer SOP Class
1.2.840.10008.5.1.1.16.376	Printer Configuration Retrieval SOP Class
1.2.840.10008.5.1.1.18	Basic Color Print Management Meta SOP Class
1.2.840.10008.5.1.1.18.1	Referenced Color Print Management Meta SOP Class	Retired
1.2.840.10008.5.1.1.2	Basic Film Box SOP Class
1.2.840.10008.5.1.1.22	VOI LUT Box SOP Class
1.2.840.10008.5.1.1.23	Presentation LUT SOP Class
1.2.840.10008.5.1.1.24	Image Overlay Box SOP Class	Retired
1.2.840.10008.5.1.1.24.1	Basic Print Image Overlay Box SOP Class	Retired
1.2.840.10008.5.1.1.26	Print Queue Management SOP Classs	Retired
1.2.840.10008.5.1.1.27	Stored Print Storage SOP Class	Retired
1.2.840.10008.5.1.1.29	Hardcopy Grayscale Image Storage SOP Class	Retired
1.2.840.10008.5.1.1.30	Hardcopy Color Image Storage SOP Class	Retired
1.2.840.10008.5.1.1.31	Pull Print Request SOP Class	Retired
1.2.840.10008.5.1.1.32	Pull Stored Print Management Meta SOP Class	Retired
1.2.840.10008.5.1.1.33	Media Creation Management SOP Class UID
1.2.840.10008.5.1.1.4	Basic Grayscale Image Box SOP Class
1.2.840.10008.5.1.1.4.1	Basic Color Image Box SOP Class
1.2.840.10008.5.1.1.4.2	Referenced Image Box SOP Class	Retired
1.2.840.10008.5.1.1.9	Basic Grayscale Print Management Meta SOP Class
1.2.840.10008.5.1.1.9.1	Referenced Grayscale Print Management Meta SOP Class	Retired

1.2.840.10008.5.1.4.1.1.1	CR Image Storage
1.2.840.10008.5.1.4.1.1.1.1	Digital X-Ray Image Storage – for Presentation
1.2.840.10008.5.1.4.1.1.1.1.1	Digital X-Ray Image Storage – for Processing
1.2.840.10008.5.1.4.1.1.1.2	Digital Mammography X-Ray Image Storage – for Presentation
1.2.840.10008.5.1.4.1.1.1.2.1	Digital Mammography X-Ray Image Storage – for Processing
1.2.840.10008.5.1.4.1.1.1.3	Digital Intra – oral X-Ray Image Storage – for Presentation
1.2.840.10008.5.1.4.1.1.1.3.1	Digital Intra – oral X-Ray Image Storage – for Processing
1.2.840.10008.5.1.4.1.1.10	Standalone Modality LUT Storage	Retired
1.2.840.10008.5.1.4.1.1.104.1	Encapsulated PDF Storage
1.2.840.10008.5.1.4.1.1.11	Standalone VOI LUT Storage	Retired
1.2.840.10008.5.1.4.1.1.11.1	Grayscale Softcopy Presentation State Storage SOP Class
1.2.840.10008.5.1.4.1.1.11.2	Color Softcopy Presentation State Storage SOP Class
1.2.840.10008.5.1.4.1.1.11.3	Pseudocolor Softcopy Presentation Stage Storage SOP Class
1.2.840.10008.5.1.4.1.1.11.4	Blending Softcopy Presentation State Storage SOP Class
1.2.840.10008.5.1.4.1.1.12.1	X-Ray Angiographic Image Storage
1.2.840.10008.5.1.4.1.1.12.1.1	Enhanced XA Image Storage
1.2.840.10008.5.1.4.1.1.12.2	X-Ray Radiofluoroscopic Image Storage
1.2.840.10008.5.1.4.1.1.12.2.1	Enhanced XRF Image Storage
1.2.840.10008.5.1.4.1.1.12.3	X-Ray Angiographic Bi-plane Image Storage	Retired
1.2.840.10008.5.1.4.1.1.128	Positron Emission Tomography Curve Storage	Retired
1.2.840.10008.5.1.4.1.1.129	Standalone Positron Emission Tomography Curve Storage	Retired
1.2.840.10008.5.1.4.1.1.2	CT Image Storage
1.2.840.10008.5.1.4.1.1.2.1	Enhanced CT Image Storage
1.2.840.10008.5.1.4.1.1.20	NM Image Storage
1.2.840.10008.5.1.4.1.1.3	Ultrasound Multiframe Image Storage	Retired
1.2.840.10008.5.1.4.1.1.3.1	Ultrasound Multiframe Image Storage
1.2.840.10008.5.1.4.1.1.4	MR Image Storage
1.2.840.10008.5.1.4.1.1.4.1	Enhanced MR Image Storage
1.2.840.10008.5.1.4.1.1.4.2	MR Spectroscopy Storage

1.2.840.10008.5.1.4.1.1.481.1	Radiation Therapy Image Storage
1.2.840.10008.5.1.4.1.1.481.2	Radiation Therapy Dose Storage
1.2.840.10008.5.1.4.1.1.481.3	Radiation Therapy Structure Set Storage
1.2.840.10008.5.1.4.1.1.481.4	Radiation Therapy Beams Treatment Record Storage
1.2.840.10008.5.1.4.1.1.481.5	Radiation Therapy Plan Storage
1.2.840.10008.5.1.4.1.1.481.6	Radiation Therapy Brachy Treatment Record Storage
1.2.840.10008.5.1.4.1.1.481.7	Radiation Therapy Treatment Summary Record Storage
1.2.840.10008.5.1.4.1.1.481.8	Radiation Therapy Ion Plan Storage
1.2.840.10008.5.1.4.1.1.481.9	Radiation Therapy Ion Beams Treatment Record Storage

1.2.840.10008.5.1.4.1.1.5	NM Image Storage	Retired

1.2.840.10008.5.1.4.1.1.6	Ultrasound Image Storage	Retired
1.2.840.10008.5.1.4.1.1.6.1	Ultrasound Image Storage
1.2.840.10008.5.1.4.1.1.66	Raw Data Storage
1.2.840.10008.5.1.4.1.1.66.1	Spatial Registration Storage
1.2.840.10008.5.1.4.1.1.66.2	Spatial Fiducials Storage
1.2.840.10008.5.1.4.1.1.66.3	Deformable Spatial Registration Storage
1.2.840.10008.5.1.4.1.1.66.4	Segmentation Storage
1.2.840.10008.5.1.4.1.1.67	Real World Value Mapping Storage

1.2.840.10008.5.1.4.1.1.7	Secondary Capture Image Storage
1.2.840.10008.5.1.4.1.1.7.1	Multiframe Single Bit Secondary Capture Image Storage
1.2.840.10008.5.1.4.1.1.7.2	Multiframe Grayscale Byte Secondary Capture Image Storage
1.2.840.10008.5.1.4.1.1.7.3	Multiframe Grayscale Word Secondary Capture Image Storage
1.2.840.10008.5.1.4.1.1.7.4	Multiframe True Color Secondary Capture Image Storage
1.2.840.10008.5.1.4.1.1.77.1	VL (Visible Light) Image Storage	Retired
1.2.840.10008.5.1.4.1.1.77.1.1	VL endoscopic Image Storage
1.2.840.10008.5.1.4.1.1.77.1.1.1	Video Endoscopic Image Storage
